soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,23.97,1974.96,2328.67,111.52,1105.22,3275.47,562.06,6966.18,11.19,50.95
lobby,33.8,2024.88,2321.16,115.38,1246.01,3906.55,557.0,6982.57,11.67,51.15
lobby,23.29,1770.33,537.48,4.8,731.0,3702.86,335.12,6234.02,6.95,36.21
lobby,22.62,1755.59,555.32,6.71,723.26,3801.49,328.91,6147.81,6.42,35.73
lobby,22.47,1737.89,564.6,7.8,716.66,3912.27,325.36,6122.05,6.29,35.38
lobby,24.66,1994.95,887.64,37.69,854.74,4067.36,484.62,6915.43,6.59,38.59
lobby,38.21,2026.33,906.82,41.54,1132.84,4050.92,487.43,7005.92,6.38,39.1
lobby,26.74,2017.76,929.99,42.41,910.74,3959.44,490.44,7037.87,6.79,38.65
lobby,27.91,2242.36,2309.74,160.41,1259.01,4301.06,561.67,8122.98,14.06,49.8
lobby,27.88,2276.23,2316.42,159.92,1242.43,4710.59,564.07,8024.55,14.07,49.66
lobby,26.79,2208.1,2322.29,160.86,1212.57,4383.97,559.32,7944.82,14.05,48.97
lobby,22.37,1345.39,555.95,8.7657183859734,707.13,1009.02,259.08,5865.67,4.37,29.81
lobby,21.37,1368.01,588.85,4.372671274094159,681.3,990.04,260.97,5827.1,4.82,29.61
lobby,19.75,1260.2,185.02,22.0868236515239,692.9,977.93,264.93,5657.27,4.98,29.04
lobby,18.72,1381.58,275.28,9.038290304436998,602.31,1112.04,198.46,5105.54,4.12,32.04
lobby,18.39,1313.38,216.41,14.608115841776169,586.5,1079.91,187.51,4992.23,2.68,30.4
lobby,20.15,1389.05,268.38,9.650270841094596,660.97,1117.17,196.96,5132.11,3.85,31.87
lobby,14.33,1232.15,259.49,175.0,540.51,1018.29,163.04,4744.59,3.17,26.57
lobby,14.59,1255.39,239.89,14.97766366515495,536.78,1023.12,163.17,4768.53,2.64,26.66
lobby,16.17,1236.29,230.79,17.964170372439753,597.52,1018.07,162.09,4784.49,2.56,26.25
lobby,24.95,1255.81,262.87,20.105457066213773,842.02,1019.42,179.84,4839.54,3.02,27.32
lobby,14.71,1237.13,294.04,16.941988053473466,553.75,989.56,182.17,4767.37,3.5,27.58
lobby,36.84,1236.08,281.87,8.864989704394475,759.44,1000.23,179.43,4667.24,3.82,27.2
lobby,30.09,1227.57,244.08,23.298694067474088,655.22,1057.81,315.17,5423.91,9.45,33.85
lobby,20.75,1231.15,250.42,30.262617746107594,622.19,1043.01,315.34,5424.31,5.12,34.34
lobby,18.18,1168.68,237.14,32.765530311291855,570.3,984.94,295.65,5129.56,4.88,32.81
