id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
285,lobby,40,3,0,0,720.23,0,9606.75,3379.1,397,12171,27,30
286,lobby,41,1,0,0,845.94,0,9273.88,3543.48,437,10502,29,36
287,lobby,41,2,0,0,865.14,0,9025.68,3496.31,422,10272,26,30
288,lobby,41,3,0,0,752.96,0,9162.64,3469.87,443,10294,27,32
289,lobby,42,1,0,0,809.71,0,8117.55,3396.25,461,11064,30,32
290,lobby,42,2,0,0,810.14,0,7827.84,3277.61,444,10397,27,30
291,lobby,42,3,0,0,707.57,0,7586.28,3150.4,419,10405,25,31
292,lobby,43,1,0,0,950.26,0,8178.98,3382.68,405,9494,30,37
293,lobby,43,2,0,0,980.38,0,7614.51,3155.4,338,9171,27,39
294,lobby,43,3,0,0,943.49,0,7656.84,3083.22,346.5,9114,24,36
295,lobby,44,1,0,0,1055.02,0,7950.7,3086.79,381,9224,26,36
296,lobby,44,2,0,0,831.1,0,8235.42,3196.14,405,9277,27,36
297,lobby,44,3,0,0,1031.01,0,8061.93,3107.52,394,9212,25,31
298,lobby,45,1,0,0,883.04,0,7802.11,3239.74,383,9581,21,35
299,lobby,45,2,0,0,822.37,0,7786.34,3150.4,384,9702,30,34
300,lobby,45,3,0,0,814.51,0,7953.19,3249.03,357,9265,26,36
301,lobby,46,1,0,0,739.87,0,7855.24,3053.91,320,8638,26,31
302,lobby,46,2,0,0,799.23,0,8095.97,3322.64,307,9631,29,31
303,lobby,46,3,0,0,814.07,0,7916.66,3063.2,321,9505,21,29
304,lobby,47,1,0,0,712.8,0,7831.99,3080.36,315,8526,28,36
305,lobby,47,2,0,0,707.57,0,7401.17,3094.65,305,8761,20,40
306,lobby,47,3,0,0,783.52,0,7612.02,3007.46,322,8185,28,38
307,lobby,48,1,0,0,740.3,0,8403.93,3326.21,293,8399,23,34
308,lobby,48,2,0,0,883.48,0,7851.09,2825.92,337,7918,24,36
309,lobby,48,3,0,0,886.1,0,8478.64,3219.01,325,8521,28,35
310,lobby,49,1,0,0,810.58,0,8359.94,3055.34,370,9468,25,35
